Loading training images...
Loaded 100000 images of shape (64, 64, 3)
Epoch 1/100 - Train Loss: 6.3187, Train Acc: 1.71%, Test Loss: 6.3486, Test Acc: 1.60%
Epoch 2/100 - Train Loss: 6.2434, Train Acc: 2.41%, Test Loss: 6.2945, Test Acc: 2.10%
Epoch 3/100 - Train Loss: 6.1820, Train Acc: 3.06%, Test Loss: 6.2526, Test Acc: 2.41%
Epoch 4/100 - Train Loss: 6.1241, Train Acc: 3.58%, Test Loss: 6.2131, Test Acc: 2.83%
Epoch 5/100 - Train Loss: 6.0667, Train Acc: 4.09%, Test Loss: 6.1748, Test Acc: 3.17%
Epoch 6/100 - Train Loss: 6.0087, Train Acc: 4.74%, Test Loss: 6.1367, Test Acc: 3.53%
Epoch 7/100 - Train Loss: 5.9499, Train Acc: 5.28%, Test Loss: 6.0995, Test Acc: 3.73%
Epoch 8/100 - Train Loss: 5.8912, Train Acc: 5.97%, Test Loss: 6.0635, Test Acc: 3.96%
Epoch 9/100 - Train Loss: 5.8338, Train Acc: 6.64%, Test Loss: 6.0295, Test Acc: 4.24%
Epoch 10/100 - Train Loss: 5.7785, Train Acc: 7.19%, Test Loss: 5.9985, Test Acc: 4.54%
Epoch 11/100 - Train Loss: 5.7250, Train Acc: 7.82%, Test Loss: 5.9702, Test Acc: 4.69%
Epoch 12/100 - Train Loss: 5.6745, Train Acc: 8.43%, Test Loss: 5.9453, Test Acc: 4.88%
Epoch 13/100 - Train Loss: 5.6268, Train Acc: 9.00%, Test Loss: 5.9232, Test Acc: 5.08%
Epoch 14/100 - Train Loss: 5.5814, Train Acc: 9.56%, Test Loss: 5.9029, Test Acc: 5.27%
Epoch 15/100 - Train Loss: 5.5388, Train Acc: 10.08%, Test Loss: 5.8851, Test Acc: 5.41%
Epoch 16/100 - Train Loss: 5.4972, Train Acc: 10.58%, Test Loss: 5.8685, Test Acc: 5.55%
Epoch 17/100 - Train Loss: 5.4576, Train Acc: 11.10%, Test Loss: 5.8539, Test Acc: 5.67%
Epoch 18/100 - Train Loss: 5.4193, Train Acc: 11.68%, Test Loss: 5.8398, Test Acc: 5.84%
Epoch 19/100 - Train Loss: 5.3817, Train Acc: 12.21%, Test Loss: 5.8271, Test Acc: 5.96%
Epoch 20/100 - Train Loss: 5.3454, Train Acc: 12.77%, Test Loss: 5.8156, Test Acc: 6.16%
Epoch 21/100 - Train Loss: 5.3101, Train Acc: 13.29%, Test Loss: 5.8053, Test Acc: 6.21%
